trades,total_pnl_inr,mean_pnl_inr,median_pnl_inr,win_rate,profit_factor,max_drawdown_inr,index,strategy,exit,split
82,-873127.5,-10647.896341463415,-10271.25,0.3048780487804878,0.430070178272885,-845910.0,NIFTY,Adaptive,15:00,development
68,432733.0,6363.720588235294,5525.625,0.6470588235294118,1.8342813957097648,-320577.0,NIFTY,Adaptive,15:00,holdout
99,-1534068.75,-15495.64393939394,-10031.25,0.2727272727272727,0.26304933300907035,-1649238.75,NIFTY,Adaptive,15:00,validation
82,-891577.5,-10872.896341463415,-10824.375,0.3048780487804878,0.4308374388953525,-862717.5,NIFTY,Adaptive,15:10,development
68,444578.0,6537.911764705882,5398.874999999999,0.6470588235294118,1.8664401065076361,-316905.0,NIFTY,Adaptive,15:10,holdout
99,-1556160.0,-15718.787878787878,-9468.75,0.2727272727272727,0.25617144536935466,-1671603.75,NIFTY,Adaptive,15:10,validation
82,137703.75000000026,1679.3140243902471,1905.0000000000687,0.524390243902439,1.276930618401207,-127567.50000000016,NIFTY,Adaptive,expiry_settlement,development
69,-2714.999999999527,-39.34782608694967,412.5,0.5072463768115942,0.9939995922374846,-150334.24999999988,NIFTY,Adaptive,expiry_settlement,holdout
99,448140.00000000035,4526.666666666671,1004.9999999999983,0.5353535353535354,1.8832259208892577,-80021.2500000005,NIFTY,Adaptive,expiry_settlement,validation
15,126615.0,8441.0,3352.499999999999,0.7333333333333333,11.459727385377944,-6705.0,NIFTY,Batman,15:00,development
34,207915.0,6115.14705882353,2221.8749999999995,0.7058823529411765,7.574751172001613,-6750.0,NIFTY,Batman,15:00,holdout
16,20756.25,1297.265625,1335.0,0.625,1.5443548387096775,-20475.0,NIFTY,Batman,15:00,validation
15,129787.5,8652.5,4811.250000000003,0.8,9.215048658912888,-10012.5,NIFTY,Batman,15:10,development
34,207602.25,6105.948529411765,3034.625,0.7352941176470589,6.304534740365513,-8486.249999999996,NIFTY,Batman,15:10,holdout
16,19871.249999999996,1241.9531249999998,2090.6249999999995,0.625,1.5326163433510904,-21750.0,NIFTY,Batman,15:10,validation
15,17175.00000000043,1145.0000000000286,3644.999999999891,0.6666666666666666,1.2648164209309123,-44216.24999999995,NIFTY,Batman,expiry_settlement,development
35,68931.25000000058,1969.4642857143024,4995.25,0.7714285714285715,1.4963680387409246,-59422.5,NIFTY,Batman,expiry_settlement,holdout
16,105787.50000000032,6611.71875000002,4102.499999999973,0.875,11.243282498184705,-10327.499999999782,NIFTY,Batman,expiry_settlement,validation
42,139781.55370141997,3328.13223098619,5499.04964905,0.5952380952380952,1.5595907819791701,-119286.856264,SENSEX,Adaptive,15:00,development
17,237651.83263508006,13979.519566769415,6281.89682544,0.8235294117647058,29.89681478857359,-957.339889039984,SENSEX,Adaptive,15:00,holdout
42,-173827.67081543998,-4138.754067034285,-7766.32881586,0.35714285714285715,0.673612698477265,-360081.45090876,SENSEX,Adaptive,15:00,validation
42,70475.19715842001,1677.980884724286,4979.81921571,0.5714285714285714,1.2389388108518995,-160621.02642952,SENSEX,Adaptive,15:10,development
17,229597.07850784002,13505.710500461179,5295.620854199998,0.8235294117647058,30.93990763180185,-648.0085436799855,SENSEX,Adaptive,15:10,holdout
42,-213172.03270759998,-5075.52458827619,-7742.29558354,0.35714285714285715,0.5978350230910374,-360020.66804028006,SENSEX,Adaptive,15:10,validation
51,327167.2672692802,6415.044456260396,7375.818531800105,0.7058823529411765,2.534279897652235,-49458.97863516001,SENSEX,Adaptive,expiry_settlement,development
18,51754.13639311992,2875.2297996177736,4103.747938740005,0.6666666666666666,1.5550407309926357,-52385.812638200085,SENSEX,Adaptive,expiry_settlement,holdout
46,115473.52301615979,2510.293978612169,4040.903290680023,0.6086956521739131,1.6153052980300007,-49212.94970688001,SENSEX,Adaptive,expiry_settlement,validation
17,29998.530012499996,1764.6194124999997,1449.9402319999995,0.6470588235294118,3.5824542538269957,-4220.567280880001,SENSEX,Batman,15:00,development
12,99937.46925928003,8328.122438273336,5284.5228537,0.8333333333333334,69.93473344071944,-957.3398890399985,SENSEX,Batman,15:00,holdout
7,10311.62421564,1473.089173662857,3143.68582984,0.7142857142857143,2.1200836959760982,-9206.119375439997,SENSEX,Batman,15:00,validation
16,23994.87437626,1499.67964851625,774.7816218699991,0.6875,3.352474097382486,-5991.087993379999,SENSEX,Batman,15:10,development
13,166513.80029580006,12808.753868907697,5295.620854199998,0.8461538461538461,184.34418607831967,-648.0085436799855,SENSEX,Batman,15:10,holdout
8,13131.271666519993,1641.4089583149992,3424.9272973599996,0.75,2.4943050805507103,-8787.54401456,SENSEX,Batman,15:10,validation
20,30323.80230664014,1516.190115332007,3544.1183490099997,0.85,1.639738570987798,-39106.08571176007,SENSEX,Batman,expiry_settlement,development
13,102954.6518580399,7919.588604464608,11320.162863720005,0.8461538461538461,3.6088877437842855,-30610.348597719887,SENSEX,Batman,expiry_settlement,holdout
9,23370.77672936013,2596.752969928903,4798.433204879999,0.7777777777777778,1.8889300325616947,-25671.13327415993,SENSEX,Batman,expiry_settlement,validation
