index,strategy,exit,entry_date,expiry,split,pnl_inr,mc_ev,regime
NIFTY,Adaptive,expiry_settlement,2021-05-31,2021-06-03,development,14737.500000000027,51.831792311422745,low
NIFTY,Adaptive,15:00,2021-05-31,2021-06-03,development,-27217.5,51.831792311422745,low
NIFTY,Adaptive,15:10,2021-05-31,2021-06-03,development,-28859.999999999996,51.831792311422745,low
NIFTY,Adaptive,expiry_settlement,2021-06-07,2021-06-10,development,-4230.0,55.48159958574733,low
NIFTY,Adaptive,15:00,2021-06-07,2021-06-10,development,-9768.75,55.48159958574733,low
NIFTY,Adaptive,15:10,2021-06-07,2021-06-10,development,-10713.750000000002,55.48159958574733,low
NIFTY,Adaptive,expiry_settlement,2021-06-14,2021-06-17,development,-4803.750000000027,55.14452451906604,low
NIFTY,Adaptive,15:00,2021-06-14,2021-06-17,development,-9633.75,55.14452451906604,low
NIFTY,Adaptive,15:10,2021-06-14,2021-06-17,development,-11070.0,55.14452451906604,low
NIFTY,Adaptive,expiry_settlement,2021-06-21,2021-06-24,development,16590.000000000055,41.84343134246936,low
NIFTY,Adaptive,15:00,2021-06-21,2021-06-24,development,-13245.0,41.84343134246936,low
NIFTY,Adaptive,15:10,2021-06-21,2021-06-24,development,-12105.0,41.84343134246936,low
NIFTY,Adaptive,expiry_settlement,2021-06-28,2021-07-01,development,-5928.75,68.48293928279391,low
NIFTY,Adaptive,15:00,2021-06-28,2021-07-01,development,-6090.0,68.48293928279391,low
NIFTY,Adaptive,15:10,2021-06-28,2021-07-01,development,-6086.249999999999,68.48293928279391,low
NIFTY,Adaptive,expiry_settlement,2021-07-05,2021-07-08,development,-5362.5,79.2797641463251,low
NIFTY,Adaptive,15:00,2021-07-05,2021-07-08,development,-5531.25,79.2797641463251,low
NIFTY,Adaptive,15:10,2021-07-05,2021-07-08,development,-5520.0,79.2797641463251,low
NIFTY,Adaptive,expiry_settlement,2021-07-12,2021-07-15,development,6386.250000000055,65.23742285635333,low
NIFTY,Adaptive,15:00,2021-07-12,2021-07-15,development,-19695.0,65.23742285635333,low
NIFTY,Adaptive,15:10,2021-07-12,2021-07-15,development,-20190.0,65.23742285635333,low
NIFTY,Adaptive,expiry_settlement,2021-07-16,2021-07-22,development,-6712.5,58.987629985764585,low
NIFTY,Adaptive,15:00,2021-07-16,2021-07-22,development,-6873.75,58.987629985764585,low
NIFTY,Adaptive,15:10,2021-07-16,2021-07-22,development,-6866.25,58.987629985764585,low
NIFTY,Adaptive,expiry_settlement,2021-07-26,2021-07-29,development,-6078.75,81.59846342578513,low
NIFTY,Adaptive,15:00,2021-07-26,2021-07-29,development,-6254.999999999999,81.59846342578513,low
NIFTY,Adaptive,15:10,2021-07-26,2021-07-29,development,-6240.0,81.59846342578513,low
NIFTY,Adaptive,expiry_settlement,2021-08-02,2021-08-05,development,27765.00000000003,80.50947498016136,low
NIFTY,Adaptive,15:00,2021-08-02,2021-08-05,development,-41205.0,80.50947498016136,low
NIFTY,Adaptive,15:10,2021-08-02,2021-08-05,development,-40556.25,80.50947498016136,low
NIFTY,Adaptive,expiry_settlement,2021-08-09,2021-08-12,development,-352.50000000002683,73.81732788066694,low
NIFTY,Adaptive,15:00,2021-08-09,2021-08-12,development,-9712.5,73.81732788066694,low
NIFTY,Adaptive,15:10,2021-08-09,2021-08-12,development,-10229.999999999998,73.81732788066694,low
NIFTY,Adaptive,expiry_settlement,2021-08-13,2021-08-18,development,3693.7499999998913,77.50383095597567,low
NIFTY,Adaptive,15:00,2021-08-13,2021-08-18,development,-14613.75,77.50383095597567,low
NIFTY,Adaptive,15:10,2021-08-13,2021-08-18,development,-15363.75,77.50383095597567,low
NIFTY,Adaptive,expiry_settlement,2021-08-23,2021-08-26,development,337.5000000001087,70.41148940433771,low
NIFTY,Adaptive,15:00,2021-08-23,2021-08-26,development,-11167.5,70.41148940433771,low
