scenario,split,slippage_points_per_leg,adaptive_trades,adaptive_total_pnl,adaptive_mean_pnl,adaptive_win_rate,adaptive_profit_factor,batman_trades,batman_total_pnl,batman_mean_pnl,batman_win_rate,batman_profit_factor
slippage_0.25,development,0.25,51,327831.8704860802,6428.075891883925,0.7058823529411765,2.53887516697041,40,61846.75360128027,1546.1688400320068,0.85,1.653627914087802
slippage_0.25,holdout,0.25,18,52188.729964519945,2899.3738869177746,0.6666666666666666,1.5602719110412326,26,206688.5714992798,7949.560442279992,0.8461538461538461,3.622744983191814
slippage_0.25,validation,0.25,46,115993.23482895983,2521.592061499127,0.6086956521739131,1.6186182491092476,18,47281.12961632025,2626.729423128903,0.7777777777777778,1.9012468555746962
slippage_0.50,development,0.5,51,327167.2672692802,6415.044456260396,0.7058823529411765,2.5342798976522345,40,60647.60461328027,1516.1901153320068,0.85,1.639738570987798
slippage_0.50,holdout,0.5,18,51754.13639311992,2875.2297996177736,0.6666666666666666,1.5550407309926357,26,205909.3037160798,7919.588604464608,0.8461538461538461,3.608887743784285
slippage_0.50,validation,0.5,46,115473.52301615979,2510.293978612169,0.6086956521739131,1.6153052980300007,18,46741.55345872025,2596.7529699289025,0.7777777777777778,1.8889300325616947
slippage_1.00,development,1.0,50,296098.86348874,5921.9772697748,0.7,2.2863694730379764,40,58249.306637280286,1456.2326659320072,0.85,1.6121174062603434
slippage_1.00,holdout,1.0,18,50884.94925031993,2826.9416250177737,0.6666666666666666,1.54461025774962,26,204350.76814967982,7859.644928833839,0.8461538461538461,3.581299174275349
slippage_1.00,validation,1.0,46,114434.09939055979,2487.697812838256,0.6086956521739131,1.6086968338832621,18,45662.401143520256,2536.800063528903,0.7777777777777778,1.8644641426767505
slippage_2.00,development,2.0,50,293680.31121434004,5873.606224286801,0.7,2.2718862496362653,40,53452.710685280275,1336.3177671320068,0.85,1.5574968883559739
slippage_2.00,holdout,2.0,18,49146.57496471993,2730.365275817774,0.6666666666666666,1.523875955302939,26,201233.69701687977,7739.757577572299,0.8461538461538461,3.5266203658014663
slippage_2.00,validation,2.0,46,119701.0388921198,2602.1964976547783,0.6086956521739131,1.6344862414570889,18,43504.096513120254,2416.894250728903,0.7777777777777778,1.8161928207726783
