split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,exit_spot,realized_pnl_inr,primary_strategy,signal,lots
development,2024-01-05,2024-01-02,Risk Reversal,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""p35"": 71900.0}",54.30000000000001,49.20285888852329,47.36758297950223,0.6706,2131.091607103571,3128.632290800299,3128.632290800299,2000.0,62572.64581600598,1,2,True,eligible,0.25,36.7055181804203,29.607025040000003,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.05, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 265.35, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""SELL"", ""strike"": 71900.0}]",5,CLOSED,72026.15,54.30000000000001,29.607025040000003,1056.3929749600002,True,72026.15,1056.3929749600002,Risk Reversal,ENTER,1
development,2024-01-12,2024-01-09,Long Synthetic Future,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",-113.0,100.1617976671809,97.92859845726491,0.5402,2316.558054696082,3172.1190797471036,3172.1190797471036,2000.0,63442.38159494207,1,2,True,eligible,0.25,44.6639841983188,30.71862076,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 413.55, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.3, ""side"": ""BUY"", ""strike"": 71800.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 300.55, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",3,CLOSED,72568.45,655.4499999999971,49.92987075999993,13059.070129239943,True,72568.45,13059.070129239943,Long Synthetic Future,ENTER,1
development,2024-01-19,2024-01-16,Put Ratio Spread,medium,0.10365534425834147,0.623015873015873,73214.44,72441.38625948361,72987.59649430432,73814.10994142172,74293.34996935942,"{""atm"": 73200.0, ""p35"": 73000.0}",275.0,52.039283052013594,49.585941554713706,0.781,1791.1385645848359,2803.7681054914374,2803.7681054914374,2000.0,56075.36210982875,1,3,True,eligible,0.25,49.06682994599856,39.59096952,"[{""expiry"": ""2024-01-19"", ""option_type"": ""PE"", ""premium_points"": 441.6, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 441.35, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-01-19"", ""option_type"": ""PE"", ""premium_points"": 358.3, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 358.55, ""side"": ""SELL"", ""strike"": 73000.0}]",4,CLOSED,71683.23,-841.7700000000041,77.5102195200001,-16912.910219520083,True,71683.23,-16912.910219520083,Put Ratio Spread,ENTER,1
development,2024-01-25,2024-01-20,Sell Put,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""atm"": 71800.0}",424.65,70.54055842794304,69.50035299094301,0.7222,1923.949315599684,2853.143607203713,2853.143607203713,2000.0,57062.87214407427,1,1,True,eligible,0.25,20.80410874,20.80410874,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 424.65, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 424.9, ""side"": ""SELL"", ""strike"": 71800.0}]",5,CLOSED,70700.67,-674.6800000000018,20.80410874,-13514.404108740035,True,70700.67,-13514.404108740035,Sell Put,ENTER,1
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",456.24999999999994,420.08637059304306,415.37223656168806,0.8918,1103.334993156227,2088.9551152368035,2088.9551152368035,2000.0,41779.10230473607,1,6,True,eligible,0.25,94.28268062709994,81.1409867,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 569.2, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 403.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 485.55, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 351.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2,CLOSED,72085.63,456.24999999999994,81.1409867,9043.859013299998,True,72085.63,9043.859013299998,Batman,ENTER,1
development,2024-02-09,2024-02-06,Sell Put,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""atm"": 71800.0}",574.75,195.76717552332366,194.56783706832366,0.7474,1816.9456187979551,2832.146285797714,2832.146285797714,2000.0,56642.925715954276,1,1,True,eligible,0.25,23.986769100000004,23.986769100000004,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 574.75, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 575.0, ""side"": ""SELL"", ""strike"": 71800.0}]",5,CLOSED,71595.49,370.24000000000524,23.986769100000004,7380.813230900105,True,71595.49,7380.813230900105,Sell Put,ENTER,1
development,2024-02-16,2024-02-13,Sell Put,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""atm"": 71000.0}",535.35,159.8720868797409,158.7145195167409,0.742,1844.257221336673,2893.8930840370613,2893.8930840370613,2000.0,57877.861680741225,1,1,True,eligible,0.25,23.151347259999998,23.151347259999998,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 535.35, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 535.6, ""side"": ""SELL"", ""strike"": 71000.0}]",5,CLOSED,72426.64,535.35,23.151347259999998,10683.84865274,True,72426.64,10683.84865274,Sell Put,ENTER,1
development,2024-02-23,2024-02-20,Sell Put,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""atm"": 72600.0}",528.8,151.31851261014327,150.1678894261432,0.7406,1854.1940605687005,2750.942740599011,2750.942740599011,2000.0,55018.854811980214,1,1,True,eligible,0.25,23.01246368,23.01246368,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 528.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 529.05, ""side"": ""SELL"", ""strike"": 72600.0}]",5,CLOSED,73142.8,528.8,23.01246368,10552.98753632,True,73142.8,10552.98753632,Sell Put,ENTER,1
development,2024-03-01,2024-02-27,Short Straddle,medium,0.09668809888844578,0.5238095238095238,72809.95,72046.44013302312,72552.84178690966,73369.93215121112,73845.99815601646,"{""atm"": 72800.0}",1121.9499999999998,234.87878337692237,232.50931442592227,0.6926,1687.3535912718964,2496.916375682334,2496.916375682334,2000.0,49938.327513646684,1,2,True,eligible,0.25,47.38937901999999,47.38937901999999,"[{""expiry"": ""2024-03-01"", ""option_type"": ""CE"", ""premium_points"": 620.55, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 620.8, ""side"": ""SELL"", ""strike"": 72800.0}, {""expiry"": ""2024-03-01"", ""option_type"": ""PE"", ""premium_points"": 501.4, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 501.65, ""side"": ""SELL"", ""strike"": 72800.0}]",4,CLOSED,73745.35,176.599999999994,47.38937901999999,3484.61062097988,True,73745.35,3484.61062097988,Short Straddle,ENTER,1
development,2024-03-07,2024-03-04,Short Straddle,medium,0.10565334822636711,0.6507936507936508,73825.51,73037.97111859817,73546.66283525176,74357.55300457442,74834.80567093544,"{""atm"": 73800.0}",1044.2,149.95651751745766,147.66947756145774,0.66,1851.9170793041324,2782.309542913857,2782.309542913857,2000.0,55646.19085827714,1,2,True,eligible,0.25,45.74079912,45.74079912,"[{""expiry"": ""2024-03-07"", ""option_type"": ""CE"", ""premium_points"": 567.45, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 567.7, ""side"": ""SELL"", ""strike"": 73800.0}, {""expiry"": ""2024-03-07"", ""option_type"": ""PE"", ""premium_points"": 476.75, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 477.0, ""side"": ""SELL"", ""strike"": 73800.0}]",4,CLOSED,74119.39,724.8100000000006,45.74079912,14450.459200880012,True,74119.39,14450.459200880012,Short Straddle,ENTER,1
