split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,universe,reason
development,2024-01-05,2024-01-02,Batman,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""c80"": 73300.0, ""p20"": 71400.0, ""p35"": 71900.0}",-55.00000000000003,-26.53390432074553,-30.10042184517693,0.4714,1517.9356214311567,2590.232450307514,2590.232450307514,2000.0,51804.64900615028,0.0,6.0,False,negative_net_ev,0.25,71.33035048862752,57.00593568000001,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 265.85, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""BUY"", ""strike"": 71900.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 135.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 135.25, ""side"": ""SELL"", ""strike"": 71400.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.05, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 75.95, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 76.2, ""side"": ""SELL"", ""strike"": 73300.0}]",2.0,EVALUATED,72026.15,-55.00000000000003,57.00593568000001,-1157.0059356800004,True,,
development,2024-01-05,2024-01-02,Long Synthetic Future,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""atm"": 72200.0}",-57.55000000000001,45.157771471689394,42.89849638530294,0.5258,2543.3656062809364,3540.9062899776636,3540.9062899776636,2000.0,70818.12579955327,1.0,2.0,True,eligible,0.25,45.18550172773043,32.39821806,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 435.45, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 435.2, ""side"": ""BUY"", ""strike"": 72200.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 377.9, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 378.15, ""side"": ""SELL"", ""strike"": 72200.0}]",3.0,EVALUATED,72026.15,-231.40000000000583,32.39821806,-4660.398218060116,True,,
development,2024-01-05,2024-01-02,Risk Reversal,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""p35"": 71900.0}",54.30000000000001,49.202858888523586,47.36758297950253,0.6706,2131.0916071035704,3128.6322908002976,3128.6322908002976,2000.0,62572.645816005956,1.0,2.0,True,eligible,0.25,36.705518180420306,29.607025040000003,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.05, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 265.35, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""SELL"", ""strike"": 71900.0}]",5.0,EVALUATED,72026.15,54.30000000000001,29.607025040000003,1056.3929749600002,True,,
development,2024-01-05,2024-01-02,Sell Put,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""atm"": 72200.0}",377.9,-30.883575237528106,-31.874217259528088,0.6776,2106.646973216549,3104.1876569132764,3104.1876569132764,2000.0,62083.75313826553,0.0,1.0,False,negative_net_ev,0.25,19.81284044,19.81284044,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 377.9, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 378.15, ""side"": ""SELL"", ""strike"": 72200.0}]",5.0,EVALUATED,72026.15,204.04999999999416,19.81284044,4061.187159559883,True,,
development,2024-01-05,2024-01-02,Batman,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""c80"": 73300.0, ""p20"": 71400.0, ""p35"": 71900.0}",-55.00000000000003,-26.53390432074553,-30.10042184517693,0.4714,1517.9356214311567,2590.232450307514,2590.232450307514,2000.0,51804.64900615028,0.0,6.0,False,negative_net_ev,0.25,71.33035048862752,57.00593568000001,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 265.85, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""BUY"", ""strike"": 71900.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 135.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 135.25, ""side"": ""SELL"", ""strike"": 71400.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.05, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 75.95, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 76.2, ""side"": ""SELL"", ""strike"": 73300.0}]",2.0,EVALUATED,72026.15,-55.00000000000003,57.00593568000001,-1157.0059356800004,True,Batman_standalone,
development,2024-01-12,2024-01-09,Batman,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",-51.10000000000002,-49.04490675490687,-52.47611194054261,0.4492,1503.2941482539009,2515.506902229367,2515.506902229367,2000.0,50310.13804458734,0.0,6.0,False,negative_net_ev,0.25,68.62410371271443,55.04328964,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 221.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 98.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 98.6, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 166.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 70.1, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 70.35, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,EVALUATED,72568.45,117.34999999999707,59.254539639999926,2287.7454603599413,True,,
development,2024-01-12,2024-01-09,Long Synthetic Future,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",-113.0,100.16179766718133,97.92859845726534,0.5402,2316.5580546960814,3172.1190797471027,3172.1190797471027,2000.0,63442.38159494205,1.0,2.0,True,eligible,0.25,44.66398419831881,30.71862076,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 413.55, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.3, ""side"": ""BUY"", ""strike"": 71800.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 300.55, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",3.0,EVALUATED,72568.45,655.4499999999971,49.92987075999993,13059.070129239943,True,,
development,2024-01-12,2024-01-09,Risk Reversal,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""p35"": 71600.0}",55.0,61.40549705266159,59.632416015185775,0.6752,1948.0979365236403,2803.658961574662,2803.658961574662,2000.0,56073.17923149324,1.0,2.0,True,eligible,0.25,35.46162074951549,28.591145,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 166.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 221.25, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""SELL"", ""strike"": 71600.0}]",5.0,EVALUATED,72568.45,223.4499999999971,32.802394999999926,4436.197604999942,True,,
development,2024-01-12,2024-01-09,Sell Put,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",300.55,-44.10273986557106,-45.011376964571035,0.6902,1901.683492585165,2757.2445176361866,2757.2445176361866,2000.0,55144.890352723734,0.0,1.0,False,negative_net_ev,0.25,18.17274198,18.17274198,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 300.55, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",5.0,EVALUATED,72568.45,300.55,18.17274198,5992.82725802,True,,
development,2024-01-12,2024-01-09,Batman,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",-51.10000000000002,-49.04490675490687,-52.47611194054261,0.4492,1503.2941482539009,2515.506902229367,2515.506902229367,2000.0,50310.13804458734,0.0,6.0,False,negative_net_ev,0.25,68.62410371271443,55.04328964,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 221.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 98.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 98.6, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 166.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 70.1, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 70.35, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,EVALUATED,72568.45,117.34999999999707,59.254539639999926,2287.7454603599413,True,Batman_standalone,
