split,strategy,observations,mean_pnl_inr_per_lot,median_pnl_inr_per_lot,total_pnl_inr_per_lot,win_rate,profit_factor,best_pnl_inr_per_lot,worst_pnl_inr_per_lot
development,Strip,13,11949.064513010859,278.74702429998837,155337.83866914117,0.5384615384615384,2.5391322509707472,113701.42740938012,-24200.540109720012
development,Buy Put,13,6974.340665923112,-4383.0311438798835,90666.42865700046,0.38461538461538464,2.5306974837040865,62025.68034110006,-10700.23044112
development,Long Synthetic Future,38,3635.8355273842058,7586.505626369988,138161.7500405998,0.6842105263157895,1.56580114447943,47457.43193666001,-71876.53392576007
development,Buy Call,7,3080.041517954299,495.8069637599307,21560.290625680092,0.5714285714285714,2.057785831894935,23614.460970759952,-9798.68250148
development,Sell Put,31,2868.7203770374035,8099.5913384,88930.33168815951,0.7741935483870968,1.6129785118423958,26549.01087398,-58286.10547412007
development,Risk Reversal,38,1746.4350035078785,2234.84847292,66364.53013329938,0.7631578947368421,1.4157470636064893,43673.51534910001,-63022.80953312007
development,Batman,76,842.3864373150031,1540.5112282300988,64021.36923594024,0.6973684210526315,1.375241373305253,13553.640586899988,-40804.40650548006
development,Short Straddle,13,-5224.9224802662075,-1654.5732934201387,-67923.9922434607,0.46153846153846156,0.47171648874186295,14380.533413480012,-51979.99493292006
development,Short Strangle,13,-5327.428398703129,-2430.3820924801407,-69256.56918314067,0.46153846153846156,0.464108969515045,12824.763964839998,-53665.83790800006
development,Put Ratio Spread,13,-5359.660603947721,4586.475158519999,-69675.58785132038,0.6153846153846154,0.4086555968498801,9286.648630840114,-54826.45379302006
